Order_Date,Order_Priority,Ord_id
15-04-2010,CRITICAL,Ord_108
14-09-2011,NOT SPECIFIED,Ord_109
21-09-2010,HIGH,Ord_110
17-08-2010,NOT SPECIFIED,Ord_111
16-09-2009,LOW,Ord_112
22-06-2009,HIGH,Ord_113
28-08-2012,NOT SPECIFIED,Ord_114
07-06-2011,CRITICAL,Ord_115
09-10-2009,NOT SPECIFIED,Ord_116
05-12-2010,NOT SPECIFIED,Ord_117
07-06-2009,LOW,Ord_118
27-07-2009,CRITICAL,Ord_119
05-09-2011,LOW,Ord_120
11-01-2009,HIGH,Ord_121
15-08-2010,MEDIUM,Ord_122
05-08-2009,NOT SPECIFIED,Ord_123
17-09-2011,MEDIUM,Ord_124
22-10-2011,LOW,Ord_125
14-11-2009,MEDIUM,Ord_126
03-07-2010,MEDIUM,Ord_127
30-01-2009,LOW,Ord_128
15-03-2012,NOT SPECIFIED,Ord_129
10-08-2009,LOW,Ord_130
01-04-2010,LOW,Ord_131
31-07-2010,HIGH,Ord_132
29-05-2009,LOW,Ord_133
11-10-2010,HIGH,Ord_134
18-05-2010,HIGH,Ord_135
08-02-2011,CRITICAL,Ord_136
07-12-2010,CRITICAL,Ord_137
06-01-2009,CRITICAL,Ord_138
12-03-2012,CRITICAL,Ord_139
26-08-2010,LOW,Ord_140
20-06-2011,HIGH,Ord_141
04-08-2010,HIGH,Ord_142
23-11-2010,HIGH,Ord_143
02-08-2009,NOT SPECIFIED,Ord_144
10-08-2011,CRITICAL,Ord_145
06-05-2010,CRITICAL,Ord_146
28-06-2012,LOW,Ord_147
23-03-2011,MEDIUM,Ord_148
19-11-2011,CRITICAL,Ord_149
26-11-2012,LOW,Ord_150
29-07-2010,NOT SPECIFIED,Ord_151
12-05-2012,LOW,Ord_152
03-03-2012,HIGH,Ord_153
20-08-2010,HIGH,Ord_154
27-06-2010,NOT SPECIFIED,Ord_155
29-10-2012,CRITICAL,Ord_156
16-01-2010,NOT SPECIFIED,Ord_157
29-06-2012,LOW,Ord_158
08-08-2011,NOT SPECIFIED,Ord_159
21-02-2010,MEDIUM,Ord_160
20-06-2011,MEDIUM,Ord_161
04-09-2009,CRITICAL,Ord_162
21-06-2009,NOT SPECIFIED,Ord_163
08-02-2012,CRITICAL,Ord_164
11-03-2009,HIGH,Ord_165
04-06-2011,LOW,Ord_166
02-03-2012,LOW,Ord_167
12-08-2011,MEDIUM,Ord_168
01-09-2009,CRITICAL,Ord_169
26-01-2010,CRITICAL,Ord_170
02-09-2011,CRITICAL,Ord_171
07-02-2012,CRITICAL,Ord_172
19-03-2011,CRITICAL,Ord_173
08-05-2011,NOT SPECIFIED,Ord_174
25-09-2009,CRITICAL,Ord_175
09-07-2012,NOT SPECIFIED,Ord_176
14-01-2010,HIGH,Ord_177
26-08-2009,HIGH,Ord_178
08-10-2009,CRITICAL,Ord_179
10-11-2011,HIGH,Ord_180
15-04-2012,HIGH,Ord_181
02-01-2012,MEDIUM,Ord_182
08-03-2011,NOT SPECIFIED,Ord_183
02-07-2009,HIGH,Ord_184
15-04-2011,CRITICAL,Ord_185
25-11-2011,HIGH,Ord_186
25-04-2012,CRITICAL,Ord_187
26-03-2011,MEDIUM,Ord_188
14-07-2010,LOW,Ord_189
23-10-2010,NOT SPECIFIED,Ord_190
24-08-2009,NOT SPECIFIED,Ord_191
09-06-2011,LOW,Ord_192
23-11-2012,MEDIUM,Ord_193
01-05-2009,NOT SPECIFIED,Ord_194
11-05-2012,CRITICAL,Ord_195
15-10-2010,CRITICAL,Ord_196
23-07-2011,LOW,Ord_197
11-07-2011,CRITICAL,Ord_198
16-09-2012,CRITICAL,Ord_199
16-01-2009,MEDIUM,Ord_200
20-10-2010,LOW,Ord_201
30-08-2010,HIGH,Ord_202
07-05-2010,CRITICAL,Ord_203
21-06-2011,CRITICAL,Ord_204
24-11-2010,MEDIUM,Ord_205
27-04-2012,MEDIUM,Ord_206
28-08-2012,LOW,Ord_207
31-07-2011,HIGH,Ord_208
06-10-2012,MEDIUM,Ord_209
06-02-2010,NOT SPECIFIED,Ord_210
17-10-2011,NOT SPECIFIED,Ord_211
20-08-2009,NOT SPECIFIED,Ord_212
14-06-2010,CRITICAL,Ord_213
27-02-2010,NOT SPECIFIED,Ord_214
15-08-2009,HIGH,Ord_215
14-05-2011,HIGH,Ord_216
07-10-2010,CRITICAL,Ord_217
23-10-2009,NOT SPECIFIED,Ord_218
09-06-2010,MEDIUM,Ord_219
10-01-2011,NOT SPECIFIED,Ord_220
30-01-2009,CRITICAL,Ord_221
28-03-2011,LOW,Ord_222
22-11-2010,LOW,Ord_223
30-05-2011,NOT SPECIFIED,Ord_224
13-05-2012,HIGH,Ord_225
08-06-2010,MEDIUM,Ord_226
29-11-2009,MEDIUM,Ord_227
01-09-2012,HIGH,Ord_228
26-02-2010,MEDIUM,Ord_229
21-05-2012,MEDIUM,Ord_230
08-11-2009,NOT SPECIFIED,Ord_231
27-08-2010,MEDIUM,Ord_232
17-08-2012,HIGH,Ord_233
09-11-2012,HIGH,Ord_234
02-06-2011,CRITICAL,Ord_235
10-08-2011,HIGH,Ord_236
27-02-2009,LOW,Ord_237
07-06-2010,NOT SPECIFIED,Ord_238
17-02-2012,LOW,Ord_239
23-02-2012,LOW,Ord_240
15-10-2009,CRITICAL,Ord_241
13-03-2009,CRITICAL,Ord_242
12-03-2010,MEDIUM,Ord_243
07-07-2009,LOW,Ord_244
21-11-2012,LOW,Ord_245
02-03-2009,MEDIUM,Ord_246
22-09-2011,HIGH,Ord_247
21-07-2011,NOT SPECIFIED,Ord_248
13-07-2009,NOT SPECIFIED,Ord_249
29-03-2010,HIGH,Ord_250
06-02-2010,LOW,Ord_251
12-09-2012,LOW,Ord_252
22-12-2010,NOT SPECIFIED,Ord_253
30-05-2009,CRITICAL,Ord_254
21-12-2012,CRITICAL,Ord_255
14-02-2012,NOT SPECIFIED,Ord_256
03-07-2010,NOT SPECIFIED,Ord_257
16-05-2011,CRITICAL,Ord_258
07-03-2010,MEDIUM,Ord_259
27-04-2009,NOT SPECIFIED,Ord_260
07-04-2012,HIGH,Ord_261
31-12-2010,MEDIUM,Ord_262
02-02-2010,NOT SPECIFIED,Ord_263
15-04-2012,NOT SPECIFIED,Ord_264
19-05-2010,HIGH,Ord_265
27-07-2009,NOT SPECIFIED,Ord_266
31-03-2009,NOT SPECIFIED,Ord_267
11-06-2012,CRITICAL,Ord_268
01-09-2010,NOT SPECIFIED,Ord_269
09-08-2012,CRITICAL,Ord_270
07-05-2010,HIGH,Ord_271
25-08-2011,MEDIUM,Ord_272
21-09-2010,CRITICAL,Ord_273
30-06-2012,LOW,Ord_274
17-01-2011,CRITICAL,Ord_275
10-10-2010,CRITICAL,Ord_276
09-06-2011,HIGH,Ord_277
26-06-2012,LOW,Ord_278
16-03-2010,MEDIUM,Ord_279
13-11-2010,CRITICAL,Ord_280
14-11-2009,MEDIUM,Ord_281
12-09-2011,HIGH,Ord_282
23-11-2009,MEDIUM,Ord_283
10-07-2010,CRITICAL,Ord_284
06-03-2009,MEDIUM,Ord_285
17-02-2011,LOW,Ord_286
19-11-2011,HIGH,Ord_287
03-06-2011,CRITICAL,Ord_288
25-05-2010,HIGH,Ord_289
30-05-2009,NOT SPECIFIED,Ord_290
30-08-2012,HIGH,Ord_291
16-12-2011,CRITICAL,Ord_292
09-12-2009,NOT SPECIFIED,Ord_293
03-07-2012,CRITICAL,Ord_294
24-12-2010,HIGH,Ord_295
17-05-2011,LOW,Ord_296
11-01-2012,NOT SPECIFIED,Ord_297
03-10-2011,NOT SPECIFIED,Ord_298
05-03-2010,NOT SPECIFIED,Ord_299
05-11-2011,HIGH,Ord_300
05-01-2009,HIGH,Ord_301
25-11-2010,MEDIUM,Ord_302
08-04-2011,HIGH,Ord_303
31-03-2010,CRITICAL,Ord_304
10-03-2012,NOT SPECIFIED,Ord_305
20-02-2009,MEDIUM,Ord_306
01-10-2009,CRITICAL,Ord_307
01-11-2012,NOT SPECIFIED,Ord_308
21-07-2011,HIGH,Ord_309
23-11-2010,NOT SPECIFIED,Ord_310
06-02-2010,NOT SPECIFIED,Ord_311
04-01-2011,MEDIUM,Ord_312
02-08-2009,MEDIUM,Ord_313
05-06-2010,HIGH,Ord_314
02-08-2009,CRITICAL,Ord_315
28-12-2010,HIGH,Ord_316
10-10-2012,CRITICAL,Ord_317
02-04-2011,CRITICAL,Ord_318
25-11-2009,CRITICAL,Ord_319
11-04-2012,CRITICAL,Ord_320
16-02-2010,LOW,Ord_321
24-09-2010,HIGH,Ord_322
21-02-2009,LOW,Ord_323
11-11-2012,CRITICAL,Ord_324
27-10-2011,CRITICAL,Ord_325
16-12-2009,LOW,Ord_326
07-05-2010,CRITICAL,Ord_327
08-01-2011,MEDIUM,Ord_328
09-07-2012,HIGH,Ord_329
09-03-2009,HIGH,Ord_330
30-12-2011,HIGH,Ord_331
29-03-2009,NOT SPECIFIED,Ord_332
13-02-2011,CRITICAL,Ord_333
28-01-2011,NOT SPECIFIED,Ord_334
08-09-2012,MEDIUM,Ord_335
18-05-2009,CRITICAL,Ord_336
29-07-2012,LOW,Ord_337
22-04-2012,CRITICAL,Ord_338
16-07-2012,NOT SPECIFIED,Ord_339
22-09-2012,HIGH,Ord_340
20-05-2010,CRITICAL,Ord_341
02-12-2009,HIGH,Ord_342
01-06-2010,MEDIUM,Ord_343
25-09-2010,MEDIUM,Ord_344
19-11-2012,MEDIUM,Ord_345
14-12-2010,LOW,Ord_346
25-10-2012,LOW,Ord_347
17-06-2010,HIGH,Ord_348
29-06-2012,LOW,Ord_349
01-02-2009,LOW,Ord_350
25-08-2011,CRITICAL,Ord_351
20-06-2009,LOW,Ord_352
03-05-2010,CRITICAL,Ord_353
07-04-2009,LOW,Ord_354
02-09-2011,LOW,Ord_355
14-04-2011,MEDIUM,Ord_356
13-02-2011,NOT SPECIFIED,Ord_357
30-07-2011,MEDIUM,Ord_358
10-08-2010,MEDIUM,Ord_359
06-04-2009,HIGH,Ord_360
26-10-2010,HIGH,Ord_361
26-05-2012,LOW,Ord_362
10-09-2012,LOW,Ord_363
16-03-2011,LOW,Ord_364
18-06-2011,HIGH,Ord_365
11-01-2011,LOW,Ord_366
05-03-2009,NOT SPECIFIED,Ord_367
14-12-2009,LOW,Ord_368
02-02-2009,NOT SPECIFIED,Ord_369
26-08-2009,LOW,Ord_370
06-03-2012,LOW,Ord_371
19-11-2009,HIGH,Ord_372
24-07-2010,LOW,Ord_373
04-08-2010,MEDIUM,Ord_374
07-03-2011,MEDIUM,Ord_375
20-10-2011,NOT SPECIFIED,Ord_376
04-08-2009,NOT SPECIFIED,Ord_377
28-04-2010,LOW,Ord_378
22-04-2009,LOW,Ord_379
04-12-2011,HIGH,Ord_380
06-08-2010,NOT SPECIFIED,Ord_381
15-09-2011,LOW,Ord_382
02-10-2009,NOT SPECIFIED,Ord_383
01-03-2009,CRITICAL,Ord_384
24-06-2009,NOT SPECIFIED,Ord_385
16-01-2011,MEDIUM,Ord_386
20-01-2012,LOW,Ord_387
21-05-2010,CRITICAL,Ord_388
15-03-2012,NOT SPECIFIED,Ord_389
07-08-2011,MEDIUM,Ord_390
21-05-2011,HIGH,Ord_391
22-12-2010,NOT SPECIFIED,Ord_392
03-07-2009,LOW,Ord_393
27-05-2009,CRITICAL,Ord_394
22-08-2012,HIGH,Ord_395
26-01-2011,CRITICAL,Ord_396
03-12-2012,CRITICAL,Ord_397
06-09-2010,NOT SPECIFIED,Ord_398
29-03-2011,LOW,Ord_399
20-08-2010,HIGH,Ord_400
02-12-2010,LOW,Ord_401
26-03-2011,CRITICAL,Ord_402
19-12-2009,CRITICAL,Ord_403
29-04-2011,LOW,Ord_404
24-10-2010,HIGH,Ord_405
12-05-2010,HIGH,Ord_406
11-04-2010,MEDIUM,Ord_407
24-01-2009,LOW,Ord_408
17-11-2010,HIGH,Ord_409
29-09-2010,HIGH,Ord_410
03-08-2010,CRITICAL,Ord_411
13-06-2011,MEDIUM,Ord_412
05-05-2010,CRITICAL,Ord_413
30-08-2010,HIGH,Ord_414
30-10-2012,HIGH,Ord_415
15-07-2009,HIGH,Ord_416
07-08-2012,LOW,Ord_417
01-02-2009,CRITICAL,Ord_418
07-07-2012,MEDIUM,Ord_419
27-03-2009,MEDIUM,Ord_420
23-09-2010,NOT SPECIFIED,Ord_421
28-03-2011,LOW,Ord_422
01-07-2009,LOW,Ord_423
11-12-2010,HIGH,Ord_424
16-09-2009,HIGH,Ord_425
04-02-2011,HIGH,Ord_426
11-09-2010,MEDIUM,Ord_427
02-03-2010,MEDIUM,Ord_428
15-09-2009,CRITICAL,Ord_429
30-12-2010,MEDIUM,Ord_430
25-07-2011,MEDIUM,Ord_431
23-12-2009,LOW,Ord_432
31-10-2012,HIGH,Ord_433
22-12-2009,CRITICAL,Ord_434
14-04-2012,HIGH,Ord_435
13-05-2011,MEDIUM,Ord_436
07-12-2011,CRITICAL,Ord_437
04-12-2010,NOT SPECIFIED,Ord_438
24-11-2009,HIGH,Ord_439
13-09-2011,NOT SPECIFIED,Ord_440
03-12-2010,NOT SPECIFIED,Ord_441
18-12-2011,LOW,Ord_442
09-08-2012,LOW,Ord_443
24-08-2010,CRITICAL,Ord_444
22-05-2011,HIGH,Ord_445
18-11-2012,CRITICAL,Ord_446
28-06-2012,HIGH,Ord_447
04-02-2009,LOW,Ord_448
25-12-2009,NOT SPECIFIED,Ord_449
26-09-2011,HIGH,Ord_450
22-09-2011,MEDIUM,Ord_451
15-02-2009,CRITICAL,Ord_452
11-10-2009,MEDIUM,Ord_453
10-03-2011,MEDIUM,Ord_454
11-08-2012,HIGH,Ord_455
25-12-2009,HIGH,Ord_456
29-06-2012,LOW,Ord_457
18-01-2009,NOT SPECIFIED,Ord_458
20-05-2012,HIGH,Ord_459
19-03-2009,HIGH,Ord_460
05-09-2009,NOT SPECIFIED,Ord_461
03-11-2009,NOT SPECIFIED,Ord_462
26-03-2011,HIGH,Ord_463
10-02-2012,HIGH,Ord_464
06-05-2009,CRITICAL,Ord_465
23-11-2010,NOT SPECIFIED,Ord_466
10-02-2011,NOT SPECIFIED,Ord_467
29-03-2010,NOT SPECIFIED,Ord_468
05-09-2012,LOW,Ord_469
31-01-2011,CRITICAL,Ord_470
07-08-2009,CRITICAL,Ord_471
05-05-2012,HIGH,Ord_472
10-11-2009,HIGH,Ord_473
14-06-2010,NOT SPECIFIED,Ord_474
07-01-2012,LOW,Ord_475
19-12-2010,HIGH,Ord_476
29-11-2012,CRITICAL,Ord_477
18-04-2009,MEDIUM,Ord_478
24-09-2009,HIGH,Ord_479
11-03-2011,MEDIUM,Ord_480
13-12-2010,HIGH,Ord_481
21-01-2012,MEDIUM,Ord_482
06-01-2012,LOW,Ord_483
10-12-2009,NOT SPECIFIED,Ord_484
12-02-2010,CRITICAL,Ord_485
26-06-2009,CRITICAL,Ord_486
08-02-2011,CRITICAL,Ord_487
20-02-2011,CRITICAL,Ord_488
10-09-2012,HIGH,Ord_489
12-02-2010,CRITICAL,Ord_490
01-02-2010,LOW,Ord_491
26-09-2011,NOT SPECIFIED,Ord_492
12-08-2010,LOW,Ord_493
20-08-2010,HIGH,Ord_494
17-05-2012,MEDIUM,Ord_495
09-07-2010,LOW,Ord_496
22-10-2011,NOT SPECIFIED,Ord_497
15-07-2010,MEDIUM,Ord_498
04-03-2011,NOT SPECIFIED,Ord_499
05-01-2009,HIGH,Ord_500
12-05-2009,MEDIUM,Ord_501
22-02-2010,MEDIUM,Ord_502
23-06-2011,CRITICAL,Ord_503
20-03-2009,MEDIUM,Ord_504
22-01-2011,LOW,Ord_505
28-07-2011,LOW,Ord_506
03-04-2010,HIGH,Ord_507
21-11-2010,NOT SPECIFIED,Ord_508
11-09-2010,MEDIUM,Ord_509
31-08-2011,NOT SPECIFIED,Ord_510
07-06-2009,HIGH,Ord_511
22-03-2009,HIGH,Ord_512
30-09-2010,CRITICAL,Ord_513
15-09-2010,LOW,Ord_514
10-01-2010,NOT SPECIFIED,Ord_515
26-06-2010,CRITICAL,Ord_516
23-07-2011,LOW,Ord_517
10-10-2010,CRITICAL,Ord_518
05-02-2009,LOW,Ord_519
09-11-2011,LOW,Ord_520
26-07-2009,LOW,Ord_521
18-04-2009,MEDIUM,Ord_522
24-02-2012,LOW,Ord_523
28-07-2012,LOW,Ord_524
14-12-2011,LOW,Ord_525
13-06-2010,LOW,Ord_526
01-10-2010,NOT SPECIFIED,Ord_527
27-04-2012,HIGH,Ord_528
24-09-2011,CRITICAL,Ord_529
30-06-2012,HIGH,Ord_530
10-11-2011,CRITICAL,Ord_531
05-11-2009,NOT SPECIFIED,Ord_532
19-02-2009,NOT SPECIFIED,Ord_533
02-03-2010,CRITICAL,Ord_534
28-06-2009,CRITICAL,Ord_535
26-01-2009,HIGH,Ord_536
02-08-2011,CRITICAL,Ord_537
04-07-2010,HIGH,Ord_538
01-10-2012,NOT SPECIFIED,Ord_539
14-07-2011,NOT SPECIFIED,Ord_540
25-07-2010,MEDIUM,Ord_541
06-07-2009,LOW,Ord_542
11-12-2012,NOT SPECIFIED,Ord_543
01-12-2011,MEDIUM,Ord_544
04-04-2009,CRITICAL,Ord_545
25-06-2010,MEDIUM,Ord_546
16-02-2011,NOT SPECIFIED,Ord_547
26-08-2010,LOW,Ord_548
04-11-2010,HIGH,Ord_549
28-04-2009,LOW,Ord_550
06-08-2009,LOW,Ord_551
18-03-2009,MEDIUM,Ord_552
05-01-2009,NOT SPECIFIED,Ord_553
08-10-2012,LOW,Ord_554
05-11-2010,NOT SPECIFIED,Ord_555
10-12-2012,NOT SPECIFIED,Ord_556
05-02-2009,CRITICAL,Ord_557
28-09-2011,MEDIUM,Ord_558
05-06-2012,LOW,Ord_559
26-09-2010,MEDIUM,Ord_560
21-01-2009,MEDIUM,Ord_561
05-10-2012,CRITICAL,Ord_562
25-03-2009,CRITICAL,Ord_563
20-09-2012,NOT SPECIFIED,Ord_564
05-02-2010,NOT SPECIFIED,Ord_565
19-03-2010,HIGH,Ord_566
19-11-2011,LOW,Ord_567
29-04-2009,MEDIUM,Ord_568
03-04-2011,LOW,Ord_569
16-04-2011,MEDIUM,Ord_570
15-06-2010,LOW,Ord_571
09-08-2009,HIGH,Ord_572
20-09-2009,MEDIUM,Ord_573
20-03-2012,CRITICAL,Ord_574
23-03-2012,NOT SPECIFIED,Ord_575
19-07-2010,LOW,Ord_576
21-11-2012,MEDIUM,Ord_577
27-03-2009,HIGH,Ord_578
14-05-2010,NOT SPECIFIED,Ord_579
17-10-2010,CRITICAL,Ord_580
24-08-2010,NOT SPECIFIED,Ord_581
10-08-2011,HIGH,Ord_582
24-09-2009,MEDIUM,Ord_583
30-10-2012,HIGH,Ord_584
07-05-2010,MEDIUM,Ord_585
09-04-2011,LOW,Ord_586
03-06-2010,HIGH,Ord_587
22-05-2010,MEDIUM,Ord_588
25-10-2012,MEDIUM,Ord_589
05-01-2010,NOT SPECIFIED,Ord_590
30-12-2011,MEDIUM,Ord_591
14-02-2011,LOW,Ord_592
28-05-2010,MEDIUM,Ord_593
28-06-2010,MEDIUM,Ord_594
01-03-2011,LOW,Ord_595
27-02-2012,NOT SPECIFIED,Ord_596
19-03-2012,NOT SPECIFIED,Ord_597
04-03-2012,CRITICAL,Ord_598
09-03-2012,CRITICAL,Ord_599
05-01-2010,HIGH,Ord_600
21-04-2012,MEDIUM,Ord_601
17-06-2009,LOW,Ord_602
13-06-2012,MEDIUM,Ord_603
16-07-2012,MEDIUM,Ord_604
15-05-2009,NOT SPECIFIED,Ord_605
02-01-2011,CRITICAL,Ord_606
05-01-2012,LOW,Ord_607
23-01-2009,NOT SPECIFIED,Ord_608
24-12-2011,NOT SPECIFIED,Ord_609
20-11-2012,CRITICAL,Ord_610
29-12-2012,MEDIUM,Ord_611
31-01-2010,MEDIUM,Ord_612
04-02-2009,MEDIUM,Ord_613
24-12-2011,MEDIUM,Ord_614
27-02-2010,LOW,Ord_615
25-06-2012,CRITICAL,Ord_616
13-03-2012,HIGH,Ord_617
28-12-2010,MEDIUM,Ord_618
03-07-2012,HIGH,Ord_619
05-04-2012,NOT SPECIFIED,Ord_620
24-07-2009,LOW,Ord_621
18-07-2011,MEDIUM,Ord_622
15-04-2010,LOW,Ord_623
15-06-2010,LOW,Ord_624
15-03-2011,HIGH,Ord_625
06-12-2009,HIGH,Ord_626
22-07-2010,MEDIUM,Ord_627
08-10-2011,CRITICAL,Ord_628
07-09-2010,LOW,Ord_629
22-01-2012,NOT SPECIFIED,Ord_630
05-04-2012,HIGH,Ord_631
12-12-2009,MEDIUM,Ord_632
23-03-2012,MEDIUM,Ord_633
13-09-2011,CRITICAL,Ord_634
05-09-2012,CRITICAL,Ord_635
21-08-2010,MEDIUM,Ord_636
26-10-2012,HIGH,Ord_637
06-10-2010,LOW,Ord_638
13-03-2010,CRITICAL,Ord_639
25-05-2011,LOW,Ord_640
09-05-2011,NOT SPECIFIED,Ord_641
18-01-2010,NOT SPECIFIED,Ord_642
12-12-2009,CRITICAL,Ord_643
22-01-2010,CRITICAL,Ord_644
09-12-2012,NOT SPECIFIED,Ord_645
28-08-2009,MEDIUM,Ord_646
04-11-2012,HIGH,Ord_647
20-07-2010,LOW,Ord_648
15-11-2011,CRITICAL,Ord_649
22-03-2009,MEDIUM,Ord_650
06-08-2009,CRITICAL,Ord_651
23-03-2012,HIGH,Ord_652
13-04-2011,LOW,Ord_653
06-09-2011,CRITICAL,Ord_654
23-05-2012,MEDIUM,Ord_655
04-03-2012,LOW,Ord_656
03-11-2009,NOT SPECIFIED,Ord_657
12-08-2009,HIGH,Ord_658
07-07-2010,HIGH,Ord_659
05-11-2010,HIGH,Ord_660
05-05-2012,NOT SPECIFIED,Ord_661
23-06-2010,MEDIUM,Ord_662
28-07-2012,MEDIUM,Ord_663
07-03-2009,CRITICAL,Ord_664
24-01-2011,NOT SPECIFIED,Ord_665
15-08-2009,MEDIUM,Ord_666
02-10-2009,CRITICAL,Ord_667
01-01-2012,LOW,Ord_668
27-11-2009,HIGH,Ord_669
04-08-2010,LOW,Ord_670
08-11-2010,NOT SPECIFIED,Ord_671
04-12-2012,HIGH,Ord_672
10-03-2011,LOW,Ord_673
16-07-2009,CRITICAL,Ord_674
22-02-2009,NOT SPECIFIED,Ord_675
21-09-2012,CRITICAL,Ord_676
10-11-2012,NOT SPECIFIED,Ord_677
12-04-2010,LOW,Ord_678
25-08-2011,HIGH,Ord_679
20-11-2010,MEDIUM,Ord_680
15-06-2010,CRITICAL,Ord_681
14-04-2012,HIGH,Ord_682
18-03-2012,CRITICAL,Ord_683
05-05-2009,LOW,Ord_684
18-04-2012,NOT SPECIFIED,Ord_685
09-01-2011,MEDIUM,Ord_686
06-03-2009,NOT SPECIFIED,Ord_687
07-06-2010,CRITICAL,Ord_688
16-01-2012,MEDIUM,Ord_689
02-02-2010,CRITICAL,Ord_690
18-08-2012,MEDIUM,Ord_691
06-10-2012,HIGH,Ord_692
24-03-2011,MEDIUM,Ord_693
02-10-2012,CRITICAL,Ord_694
14-08-2012,MEDIUM,Ord_695
26-02-2011,CRITICAL,Ord_696
10-11-2012,LOW,Ord_697
13-09-2012,MEDIUM,Ord_698
10-05-2012,NOT SPECIFIED,Ord_699
25-12-2010,CRITICAL,Ord_700
24-03-2012,NOT SPECIFIED,Ord_701
20-05-2009,MEDIUM,Ord_702
21-06-2009,CRITICAL,Ord_703
07-08-2011,CRITICAL,Ord_704
